window_idx_global,series_id,series_name,start_idx,state_id,recon_mae
600,0,clean_serie1,18000,0,0.039233588
601,0,clean_serie1,18030,0,0.043915514
602,0,clean_serie1,18060,0,0.044554386
603,0,clean_serie1,18090,0,0.04639246
604,0,clean_serie1,18120,0,0.04719447
605,0,clean_serie1,18150,0,0.04368185
606,0,clean_serie1,18180,0,0.042157095
607,0,clean_serie1,18210,0,0.03977291
608,0,clean_serie1,18240,0,0.039892577
609,0,clean_serie1,18270,0,0.0407176
610,0,clean_serie1,18300,0,0.041658986
611,0,clean_serie1,18330,0,0.041753147
612,0,clean_serie1,18360,0,0.04019435
613,0,clean_serie1,18390,0,0.038880743
614,0,clean_serie1,18420,0,0.038724817
615,0,clean_serie1,18450,0,0.04629701
616,0,clean_serie1,18480,0,0.052453786
617,0,clean_serie1,18510,0,0.060286038
618,0,clean_serie1,18540,0,0.06959068
619,0,clean_serie1,18570,0,0.06971771
620,0,clean_serie1,18600,0,0.0655828
621,0,clean_serie1,18630,0,0.05920975
622,0,clean_serie1,18660,0,0.072021335
623,0,clean_serie1,18690,0,0.098784156
624,0,clean_serie1,18720,1,0.1345191
625,0,clean_serie1,18750,1,0.1504793
626,0,clean_serie1,18780,1,0.13872643
627,0,clean_serie1,18810,1,0.11646307
628,0,clean_serie1,18840,1,0.09910861
